_id,coc,con,brc,brn,OC,BC,BCM,MBC,SC,SCA,ST,octl,ocal,bctl,bcal,bcmtl,bcmal,mbctl,mbcal,sctl,scal,scatl,scaal,sttl,stal
662a6fae29646f549228417d,1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,BY,BIO MEDICAL ENGINEERING  (SS),195,191.5,193.5,188.845,184,164,,17,17,14,14,1,1,10,10,9,9,2,2,0,0
662a6fae29646f549228417e,1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CE,CIVIL  ENGINEERING,193,190,192,187,183,173.5,177.5,16,16,14,14,1,1,11,11,8,8,2,2,1,1
662a6fae29646f549228417c,1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CM,COMPUTER SCIENCE AND ENGINEERING (SS),199.5,199,198.5,199,196,178,192,30,30,26,26,4,4,21,21,15,15,4,4,1,1
662a6fae29646f549228417f,1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CS,COMPUTER SCIENCE AND ENGINEERING,200,200,199.5,199.5,198.5,185.5,,15,15,15,15,2,2,9,9,8,8,2,2,0,0
662a6fae29646f5492284180,1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,200,199.5,198,198.5,195,186,180.5,15,15,14,14,2,2,10,10,8,8,1,1,1,1
662a6fae29646f5492284189,1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,198,197.5,195,195.5,189,176.5,171,15,15,13,13,2,2,11,11,8,8,1,1,1,1
662a6fae29646f5492284183,1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),199,198.5,197.5,197,191.5,190,175.5,16,16,14,14,2,2,10,10,9,9,1,1,1,1
662a6fae29646f5492284181,1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,GI,GEO INFORMATICS,191,188.5,188.5,187.5,179.5,159.5,155.5,17,17,13,13,2,2,11,11,8,8,1,1,1,1
662a6fae29646f5492284182,1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,IE,INDUSTRIAL ENGINEERING,189,184.5,185.5,179.5,169.5,148,,15,15,14,14,2,2,10,10,9,9,2,2,0,0
662a6fae29646f5492284184,1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,IM,INFORMATION TECHNOLOGY (SS),199,198.5,198,198,191.5,176,182.5,32,32,27,27,3,3,20,20,16,16,3,3,1,1
662a6fae29646f5492284185,1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,MA,MATERIAL SCIENCE AND ENGINEERING (SS),187.5,182,184,176.5,171.5,173,,8,8,7,7,1,1,6,6,3,3,1,1,0,0
662a6fae29646f5492284186,1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,ME,MECHANICAL ENGINEERING,195.5,193.5,191,191.5,182.5,168,,33,33,29,29,4,4,21,21,15,15,4,4,0,0
662a6fae29646f5492284188,1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,MI,MINING ENGINEERING,187,181.5,174,175,170.5,163,,8,8,7,7,1,1,6,6,3,3,1,1,0,0
662a6fae29646f5492284187,1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,MN,MANUFACTURING ENGINEERING,186,179,182,179.89,165,136.5,135,15,15,14,14,2,2,11,11,9,9,1,1,1,1
662a6fae29646f549228418b,1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,PT,PRINTING AND PACKING TECHNOLOGY,181.955,170.5,173,171.5,162,131,,17,17,15,15,2,2,10,10,8,8,2,2,0,0
662a6fae29646f549228418a,1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,XC,CIVIL ENGINEERING (TAMIL MEDIUM),180.5,174,161,165.5,166,157.5,,9,9,7,7,1,1,6,6,3,3,1,1,0,0
662a6fae29646f549228418c,1,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),180,175.5,175.5,168,166,,134.5,9,9,6,6,1,1,6,6,4,4,0,0,1,1
662a6fae29646f549228418d,2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,AP,APPAREL TECHNOLOGY (SS),166.5,156,160,152,141.5,118,129,8,8,6,6,1,1,5,5,4,4,1,1,1,1
662a6fae29646f549228418e,2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CH,CHEMICAL  ENGINEERING,192.5,190,187,184.5,177,171.29,,16,16,13,13,2,2,10,10,8,8,2,2,0,0
662a6fae29646f5492284190,2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CL,CHEMICAL  ENGINEERING (SS),189.5,185.5,185.5,182.5,164,151,140.5,17,17,14,14,1,1,11,11,8,8,1,1,1,1
662a6fae29646f549228418f,2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CR,CERAMIC TECHNOLOGY (SS),170.5,157.5,152,155.5,146.5,140,,16,16,15,15,2,2,10,10,9,9,1,1,1,0
662a6fae29646f5492284191,2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,FS,FOOD TECHNOLOGY (SS),189,177.615,178.5,175,167.5,176.47,,11,11,9,9,1,1,8,8,5,5,1,1,0,0
662a6fae29646f5492284192,2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,IB,INDUSTRIAL BIO TECHNOLOGY,190,187,186,181.5,185,152.5,,9,9,8,8,1,1,5,5,3,3,1,1,0,0
662a6fae29646f5492284193,2,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,IS,INDUSTRIAL BIO TECHNOLOGY (SS),186,184.5,182.5,177,179.5,,144,6,6,4,4,1,1,4,4,2,2,0,0,1,1
